AmbientRoomTemperature,ElapsedTime,LongitudinalForce,LateralForce,NormalForce,InclinationAngle,OverturningMoment,AligningTorque,WheelRotationalSpeed,NormalizedLongitudinalForce(FX/FZ),NormalizedLateralForce(FY/FZ),TirePressure,EffectiveRadius,LoadedRadius,RoadSurfaceTemperature,SlipAngle,SlipRatioTextbook,SlipRatioBasedOnRL,TireSurfaceTemperature-Center,TireSurfaceTemperature-Inboard,TireSurfaceTemperature-Outboard,RoadSpeed,testid,tireid,Index
79.31,760.443,-6.61,-305.31,-207.88,0.013,10.48,28.31,0.04,0.0318,1.4686,11.92,96696.82,7.62,97.29,3.051,-0,-0.9999,140.42,139.76,138.56,24.94,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21731
79.29,760.453,-5.94,-303.89,-209.34,-0.002,10.33,27.94,0.11,0.0284,1.4517,11.96,37478.21,7.62,97.27,3.021,-0,-0.9998,140.31,139.56,138.68,24.93,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21732
79.27,760.463,-4.95,-301.89,-209.33,0.006,10.1,27.61,0.18,0.0236,1.4422,12.06,23246.74,7.62,97.27,2.981,-0,-0.9997,140.1,139.45,138.68,24.93,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21733
79.29,760.473,-3.96,-299.39,-208.7,-0,10.11,27.23,0.11,0.019,1.4345,12.2,37515.73,7.62,97.29,2.933,-0,-0.9998,140.01,139.32,138.7,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21734
79.31,760.483,-3.6,-295.81,-206.65,0.004,10,26.34,0.11,0.0174,1.4315,12.33,37525.35,7.62,97.32,2.903,-0,-0.9998,139.95,139.27,138.66,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21735
79.27,760.493,-4.12,-292.38,-204.66,-0.003,9.23,25.31,0.11,0.0202,1.4286,12.39,37526.49,7.62,97.33,2.865,-0,-0.9998,139.84,139.16,138.62,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21736
79.28,760.503,-4.83,-287.71,-202.95,-0.002,9.3,24.81,0.11,0.0238,1.4177,12.37,37545.09,7.62,97.31,2.825,-0,-0.9998,139.71,139.05,138.46,24.97,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21737
79.31,760.513,-6.2,-283.36,-202.57,-0.002,10.04,24.48,0.04,0.0306,1.3988,12.28,96763.3,7.62,97.33,2.772,-0,-0.9999,139.65,139.01,138.44,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21738
79.3,760.523,-7.57,-279.84,-203.18,0.019,10.27,24.55,0.04,0.0373,1.3773,12.17,96766.3,7.62,97.33,2.73,-0,-0.9999,139.67,139.1,138.48,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21739
79.27,760.533,-8.79,-277.04,-203.42,0.007,9.1,24.62,0.04,0.0432,1.3619,12.06,96791.74,7.62,97.33,2.688,-0,-0.9999,139.69,139.03,138.58,24.96,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21740
79.29,760.543,-9.24,-274.73,-205.6,0.012,9.54,24.93,0.11,0.045,1.3363,12.03,37558.92,7.62,97.37,2.641,-0,-0.9998,139.6,138.92,138.72,24.98,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21741
79.31,760.553,-8.97,-272.72,-206.97,0.007,8.86,25.13,0.11,0.0433,1.3177,12.03,37586.02,7.62,97.43,2.605,-0,-0.9998,139.48,138.68,138.82,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21742
79.28,760.563,-8,-270.72,-208.63,0.01,8.82,25.41,0.04,0.0383,1.2976,12.11,97003.66,7.62,97.45,2.548,-0,-0.9999,139.39,138.46,138.86,25.01,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21743
79.28,760.573,-6.61,-268.55,-209.87,0.01,9.02,25.65,0.04,0.0315,1.2796,12.21,96960.78,7.62,97.48,2.517,-0,-0.9999,139.24,138.28,138.82,25,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21744
79.31,760.583,-5.23,-265.94,-209.34,0.022,8.29,25.62,0.04,0.025,1.2704,12.32,97009.08,7.62,97.51,2.465,-0,-0.9999,139.11,138.28,138.72,25.01,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21745
79.29,760.593,-3.94,-262.16,-207.79,0.001,8.26,25.44,0.11,0.019,1.2617,12.35,37616.89,7.63,97.49,2.419,-0,-0.9998,139.05,138.22,138.52,25.01,Cornering,"Hoosier 43075 16x7.5-10 R20, 7 inch rim",21746
